Step,Sensor1,Sensor3,Sensor4,Sensor5,Sensor7,Sensor9,Sensor10,Sensor12
725,312,330,451,734,611,716,490,575
726,313,341,452,753,618,722,494,573
727,311,330,448,735,619,710,490,573
728,313,334,449,743,620,718,490,570
729,316,333,452,732,615,715,490,568
730,322,342,457,766,619,719,496,569
731,311,332,449,736,615,710,490,569
732,317,336,456,753,628,717,498,577
733,312,330,452,734,619,713,492,573
734,315,329,453,750,626,719,502,576
735,314,329,451,735,616,712,490,571
736,311,337,457,749,619,715,495,573
737,315,328,449,734,611,716,490,572
738,320,334,457,746,627,713,503,580
739,311,328,448,738,616,712,499,568
740,310,333,455,755,631,717,499,578
741,312,328,448,734,614,711,494,575
742,316,338,455,746,626,716,494,575
743,308,328,448,732,613,716,489,573
744,321,342,460,759,632,723,506,576
745,314,328,448,734,613,712,490,572
746,322,333,458,751,628,719,494,573
747,310,328,447,730,613,716,490,571
748,317,336,456,754,626,722,506,578
749,313,331,448,733,616,714,493,569
750,316,335,452,740,622,721,498,576
751,316,327,452,734,618,712,495,572
752,322,349,454,751,620,716,491,569
753,316,334,449,739,615,716,494,569
754,317,336,458,758,628,718,502,571
755,316,335,454,740,617,712,495,574
756,323,353,464,767,616,725,494,577
757,312,334,456,738,614,715,497,571
758,320,340,460,761,630,726,500,577
759,314,336,450,735,613,715,491,569
760,320,346,463,769,623,724,499,574
761,316,336,450,740,614,712,494,571
762,321,340,456,751,617,718,489,572
